step,lr,train_loss
0,1.500000e-07,8.479898
50,7.650000e-06,7.995955
100,1.515000e-05,7.056831
150,2.265000e-05,6.405217
200,3.015000e-05,5.795916
250,3.765000e-05,5.290765
300,4.515000e-05,4.971446
350,5.265000e-05,4.683394
400,6.015000e-05,4.465350
450,6.765000e-05,4.336342
500,7.515000e-05,4.181633
550,8.265000e-05,4.197283
600,9.015000e-05,4.118071
650,9.765000e-05,3.987844
700,1.051500e-04,3.973139
750,1.126500e-04,3.832237
800,1.201500e-04,3.784976
850,1.276500e-04,3.690441
900,1.351500e-04,3.728523
950,1.426500e-04,3.673591
1000,1.501500e-04,3.612030
1050,1.576500e-04,3.572069
1100,1.651500e-04,3.584649
1150,1.726500e-04,3.518491
1200,1.801500e-04,3.482037
1250,1.876500e-04,3.502371
1300,1.951500e-04,3.370506
1350,2.026500e-04,3.428431
1400,2.101500e-04,3.338562
1450,2.176500e-04,3.347509
1500,2.251500e-04,3.365013
1550,2.326500e-04,3.276081
1600,2.401500e-04,3.289169
1650,2.476500e-04,3.287781
1700,2.551500e-04,3.178638
1750,2.626500e-04,3.334481
1800,2.701500e-04,3.138575
1850,2.776500e-04,3.145731
1900,2.851500e-04,3.195716
1950,2.926500e-04,3.178944
2000,3.000000e-04,3.137002
2050,2.999937e-04,3.131991
2100,2.999750e-04,3.135734
2150,2.999437e-04,2.992753
2200,2.998999e-04,2.994489
2250,2.998435e-04,2.973379
2300,2.997747e-04,3.035155
2350,2.996934e-04,3.000790
2400,2.995996e-04,2.964618
2450,2.994932e-04,2.997360
2500,2.993745e-04,2.897496
2550,2.992432e-04,2.825946
2600,2.990995e-04,2.892896
2650,2.989434e-04,2.839836
2700,2.987749e-04,2.840808
2750,2.985939e-04,2.863593
2800,2.984006e-04,2.931704
2850,2.981949e-04,2.721571
2900,2.979768e-04,2.802342
2950,2.977464e-04,2.773182
3000,2.975037e-04,2.722604
3050,2.972487e-04,2.707078
3100,2.969814e-04,2.711845
3150,2.967019e-04,2.715993
3200,2.964102e-04,2.720603
3250,2.961063e-04,2.651088
3300,2.957902e-04,2.715212
3350,2.954620e-04,2.675785
3400,2.951217e-04,2.633341
3450,2.947694e-04,2.606109
3500,2.944050e-04,2.582030
3550,2.940286e-04,2.575828
3600,2.936402e-04,2.626723
3650,2.932399e-04,2.579911
3700,2.928277e-04,2.651619
3750,2.924037e-04,2.540317
3800,2.919678e-04,2.459297
3850,2.915202e-04,2.592468
3900,2.910608e-04,2.555161
3950,2.905898e-04,2.546265
4000,2.901071e-04,2.436556
4050,2.896128e-04,2.422751
4100,2.891069e-04,2.488431
4150,2.885895e-04,2.458617
4200,2.880607e-04,2.527261
4250,2.875204e-04,2.452597
4300,2.869688e-04,2.406323
4350,2.864059e-04,2.391421
4400,2.858317e-04,2.442166
4450,2.852463e-04,2.427590
4500,2.846498e-04,2.450959
4550,2.840421e-04,2.468277
4600,2.834235e-04,2.385781
4650,2.827938e-04,2.376944
4700,2.821532e-04,2.316965
4750,2.815018e-04,2.262690
4800,2.808395e-04,2.296491
4850,2.801665e-04,2.247933
4900,2.794828e-04,2.422195
4950,2.787885e-04,2.329611
5000,2.780837e-04,2.287892
5050,2.773683e-04,2.348905
5100,2.766426e-04,2.284656
5150,2.759065e-04,2.299237
5200,2.751601e-04,2.221006
5250,2.744035e-04,2.235040
5300,2.736367e-04,2.250357
5350,2.728599e-04,2.311935
5400,2.720730e-04,2.342567
5450,2.712762e-04,2.146913
5500,2.704696e-04,2.142823
5550,2.696532e-04,2.282117
5600,2.688271e-04,2.235625
5650,2.679914e-04,2.202431
5700,2.671461e-04,2.276090
5750,2.662913e-04,2.226167
5800,2.654271e-04,2.192311
5850,2.645537e-04,2.241217
5900,2.636710e-04,2.227857
5950,2.627791e-04,2.288431
6000,2.618782e-04,2.129454
6050,2.609683e-04,2.240356
6100,2.600495e-04,2.165508
6150,2.591218e-04,2.172055
6200,2.581855e-04,2.176441
6250,2.572405e-04,2.199196
6300,2.562869e-04,2.092156
6350,2.553249e-04,2.132399
6400,2.543545e-04,2.113952
6450,2.533758e-04,2.167170
6500,2.523889e-04,2.147437
6550,2.513940e-04,2.212800
6600,2.503910e-04,2.141671
6650,2.493801e-04,2.193694
6700,2.483613e-04,2.181593
6750,2.473348e-04,2.125499
6800,2.463007e-04,2.124705
6850,2.452591e-04,2.097010
6900,2.442100e-04,2.190151
6950,2.431536e-04,2.162423
7000,2.420899e-04,2.064604
7050,2.410190e-04,2.067119
7100,2.399412e-04,2.117313
7150,2.388563e-04,2.064101
7200,2.377646e-04,2.038538
7250,2.366662e-04,2.128803
7300,2.355611e-04,2.018475
7350,2.344495e-04,2.091103
7400,2.333315e-04,2.098670
7450,2.322071e-04,2.073406
7500,2.310764e-04,2.063338
7550,2.299397e-04,2.070772
7600,2.287969e-04,2.074836
7650,2.276482e-04,2.116178
7700,2.264937e-04,2.073843
7750,2.253334e-04,2.069387
7800,2.241676e-04,2.030272
7850,2.229963e-04,2.057180
7900,2.218197e-04,1.930835
7950,2.206377e-04,2.039754
8000,2.194506e-04,2.095960
8050,2.182585e-04,2.023022
8100,2.170614e-04,2.087445
8150,2.158595e-04,2.099154
8200,2.146528e-04,2.082320
8250,2.134416e-04,2.083337
8300,2.122258e-04,1.984922
8350,2.110057e-04,2.053322
8400,2.097813e-04,2.008044
8450,2.085528e-04,2.096919
8500,2.073202e-04,2.119957
8550,2.060837e-04,2.050478
8600,2.048434e-04,1.984218
8650,2.035994e-04,1.952400
8700,2.023518e-04,2.060156
8750,2.011008e-04,1.971800
8800,1.998464e-04,2.024645
8850,1.985887e-04,2.002808
8900,1.973280e-04,2.018002
8950,1.960643e-04,1.979120
9000,1.947976e-04,1.951933
9050,1.935283e-04,1.934793
9100,1.922562e-04,2.006692
9150,1.909817e-04,1.991518
9200,1.897047e-04,1.970089
9250,1.884254e-04,2.008452
9300,1.871440e-04,1.982450
9350,1.858605e-04,2.011582
9400,1.845751e-04,1.982760
9450,1.832879e-04,1.972849
9500,1.819989e-04,2.071035
9550,1.807084e-04,1.917536
9600,1.794164e-04,1.954697
9650,1.781231e-04,2.042094
9700,1.768286e-04,1.948446
9750,1.755330e-04,2.003853
9800,1.742364e-04,1.963633
9850,1.729390e-04,1.953371
9900,1.716408e-04,1.954697
9950,1.703420e-04,1.891994
10000,1.690427e-04,1.921726
10050,1.677430e-04,1.958515
10100,1.664431e-04,2.000175
10150,1.651430e-04,1.932570
10200,1.638429e-04,1.974338
10250,1.625430e-04,1.943367
10300,1.612432e-04,1.948130
10350,1.599438e-04,1.897265
10400,1.586449e-04,1.919615
10450,1.573466e-04,1.911827
10500,1.560490e-04,1.966417
10550,1.547522e-04,1.963805
10600,1.534563e-04,1.869869
10650,1.521616e-04,1.914159
10700,1.508680e-04,1.836588
10750,1.495757e-04,1.940744
10800,1.482849e-04,1.987390
10850,1.469956e-04,1.877076
10900,1.457079e-04,1.946317
10950,1.444221e-04,1.865506
11000,1.431382e-04,1.997025
11050,1.418563e-04,1.871836
11100,1.405766e-04,1.817874
11150,1.392991e-04,1.914128
11200,1.380240e-04,1.919150
11250,1.367514e-04,1.962707
11300,1.354814e-04,1.837199
11350,1.342142e-04,1.983741
11400,1.329498e-04,1.905120
11450,1.316884e-04,1.909977
11500,1.304300e-04,1.899179
11550,1.291749e-04,1.926563
11600,1.279231e-04,1.951082
11650,1.266748e-04,1.876500
11700,1.254300e-04,1.867750
11750,1.241888e-04,1.777314
11800,1.229515e-04,1.821857
11850,1.217180e-04,1.875162
11900,1.204886e-04,1.871125
11950,1.192633e-04,1.917665
12000,1.180422e-04,1.851962
12050,1.168255e-04,1.862801
12100,1.156133e-04,1.941298
12150,1.144056e-04,1.904837
12200,1.132026e-04,1.914890
12250,1.120045e-04,1.797504
12300,1.108112e-04,1.814368
12350,1.096230e-04,1.933855
12400,1.084399e-04,1.761734
12450,1.072621e-04,1.882623
12500,1.060896e-04,1.841587
12550,1.049226e-04,1.882205
12600,1.037611e-04,1.833517
12650,1.026053e-04,1.878319
12700,1.014553e-04,1.813715
12750,1.003112e-04,1.896037
12800,9.917315e-05,1.881791
12850,9.804116e-05,1.850055
12900,9.691538e-05,1.802538
12950,9.579591e-05,1.806141
13000,9.468286e-05,1.841894
13050,9.357633e-05,1.852883
13100,9.247643e-05,1.846269
13150,9.138326e-05,1.848231
13200,9.029691e-05,1.883155
13250,8.921748e-05,1.864788
13300,8.814509e-05,1.846245
13350,8.707983e-05,1.846970
13400,8.602179e-05,1.803972
13450,8.497107e-05,1.863624
13500,8.392778e-05,1.857989
13550,8.289201e-05,1.851491
13600,8.186385e-05,1.851789
13650,8.084340e-05,1.808232
13700,7.983075e-05,1.816803
13750,7.882601e-05,1.852460
13800,7.782926e-05,1.894747
13850,7.684059e-05,1.773414
13900,7.586009e-05,1.862721
13950,7.488787e-05,1.856492
14000,7.392400e-05,1.767811
14050,7.296858e-05,1.896759
14100,7.202169e-05,1.842479
14150,7.108343e-05,1.807873
14200,7.015387e-05,1.928441
14250,6.923312e-05,1.911751
14300,6.832124e-05,1.838892
14350,6.741833e-05,1.853698
14400,6.652447e-05,1.824796
14450,6.563974e-05,1.834404
14500,6.476423e-05,1.809327
14550,6.389801e-05,1.769875
14600,6.304117e-05,1.712614
14650,6.219379e-05,1.920078
14700,6.135594e-05,1.860432
14750,6.052770e-05,1.886425
14800,5.970915e-05,1.868021
14850,5.890037e-05,1.773421
14900,5.810142e-05,1.747824
14950,5.731239e-05,1.801643
15000,5.653335e-05,1.855592
15050,5.576437e-05,1.865344
15100,5.500552e-05,1.814682
15150,5.425686e-05,1.846615
15200,5.351848e-05,1.800862
15250,5.279044e-05,1.908574
15300,5.207280e-05,1.791171
15350,5.136564e-05,1.865424
15400,5.066902e-05,1.899909
15450,4.998300e-05,1.793443
15500,4.930764e-05,1.748567
15550,4.864302e-05,1.783940
15600,4.798919e-05,1.848391
15650,4.734620e-05,1.828537
15700,4.671413e-05,1.847736
15750,4.609303e-05,1.775454
15800,4.548296e-05,1.863266
