step,lr,train_loss
0,1.500000e-07,8.423784
50,7.650000e-06,8.019902
100,1.515000e-05,7.134872
150,2.265000e-05,6.427613
200,3.015000e-05,5.854522
250,3.765000e-05,5.367828
300,4.515000e-05,5.010896
350,5.265000e-05,4.780613
400,6.015000e-05,4.532705
450,6.765000e-05,4.323337
500,7.515000e-05,4.202166
550,8.265000e-05,3.981544
600,9.015000e-05,3.884634
650,9.765000e-05,3.881068
700,1.051500e-04,3.757142
750,1.126500e-04,3.715264
800,1.201500e-04,3.563370
850,1.276500e-04,3.481132
900,1.351500e-04,3.362001
950,1.426500e-04,3.360485
1000,1.501500e-04,3.340452
1050,1.576500e-04,3.244585
1100,1.651500e-04,3.277290
1150,1.726500e-04,3.120794
1200,1.801500e-04,3.069614
1250,1.876500e-04,3.092942
1300,1.951500e-04,3.049202
1350,2.026500e-04,3.037896
1400,2.101500e-04,3.016972
1450,2.176500e-04,2.971461
1500,2.251500e-04,2.917367
1550,2.326500e-04,2.865579
1600,2.401500e-04,2.885575
1650,2.476500e-04,2.785847
1700,2.551500e-04,2.796155
1750,2.626500e-04,2.727891
1800,2.701500e-04,2.711701
1850,2.776500e-04,2.794922
1900,2.851500e-04,2.631618
1950,2.926500e-04,2.656437
2000,3.000000e-04,2.596263
2050,2.999937e-04,2.605960
2100,2.999750e-04,2.504657
2150,2.999437e-04,2.618552
2200,2.998999e-04,2.523229
2250,2.998435e-04,2.524266
2300,2.997747e-04,2.490984
2350,2.996934e-04,2.417028
2400,2.995996e-04,2.388675
2450,2.994932e-04,2.515336
2500,2.993745e-04,2.402149
2550,2.992432e-04,2.404834
2600,2.990995e-04,2.420552
2650,2.989434e-04,2.385011
2700,2.987749e-04,2.337692
2750,2.985939e-04,2.362930
2800,2.984006e-04,2.288749
2850,2.981949e-04,2.356880
2900,2.979768e-04,2.287821
2950,2.977464e-04,2.269178
3000,2.975037e-04,2.277403
3050,2.972487e-04,2.298290
3100,2.969814e-04,2.226158
3150,2.967019e-04,2.217835
3200,2.964102e-04,2.201461
3250,2.961063e-04,2.124900
3300,2.957902e-04,2.208577
3350,2.954620e-04,2.222588
