step,lr,train_loss
0,1.500000e-07,8.423628
50,7.650000e-06,8.019292
100,1.515000e-05,7.133601
150,2.265000e-05,6.426242
200,3.015000e-05,5.853833
250,3.765000e-05,5.366730
300,4.515000e-05,4.993750
350,5.265000e-05,4.748101
400,6.015000e-05,4.491939
450,6.765000e-05,4.258193
500,7.515000e-05,4.107053
550,8.265000e-05,3.870788
600,9.015000e-05,3.759961
650,9.765000e-05,3.753503
700,1.051500e-04,3.632580
750,1.126500e-04,3.584290
800,1.201500e-04,3.429085
850,1.276500e-04,3.342771
900,1.351500e-04,3.229609
950,1.426500e-04,3.224247
1000,1.501500e-04,3.205076
1050,1.576500e-04,3.112815
1100,1.651500e-04,3.156964
1150,1.726500e-04,3.000462
1200,1.801500e-04,2.954994
1250,1.876500e-04,2.995360
1300,1.951500e-04,2.954099
1350,2.026500e-04,2.933420
1400,2.101500e-04,2.920763
1450,2.176500e-04,2.881711
1500,2.251500e-04,2.817055
1550,2.326500e-04,2.761775
1600,2.401500e-04,2.803299
1650,2.476500e-04,2.694843
1700,2.551500e-04,2.703563
1750,2.626500e-04,2.640620
1800,2.701500e-04,2.633172
1850,2.776500e-04,2.703324
1900,2.851500e-04,2.540542
1950,2.926500e-04,2.570043
2000,3.000000e-04,2.511852
2050,2.999937e-04,2.521923
2100,2.999750e-04,2.430092
2150,2.999437e-04,2.525276
2200,2.998999e-04,2.441617
2250,2.998435e-04,2.441912
2300,2.997747e-04,2.407447
2350,2.996934e-04,2.329675
2400,2.995996e-04,2.313149
2450,2.994932e-04,2.438854
2500,2.993745e-04,2.317674
2550,2.992432e-04,2.330179
2600,2.990995e-04,2.340901
2650,2.989434e-04,2.305389
2700,2.987749e-04,2.274434
2750,2.985939e-04,2.289022
2800,2.984006e-04,2.212311
2850,2.981949e-04,2.278387
2900,2.979768e-04,2.214495
2950,2.977464e-04,2.203671
3000,2.975037e-04,2.207891
3050,2.972487e-04,2.224618
3100,2.969814e-04,2.155877
3150,2.967019e-04,2.143811
3200,2.964102e-04,2.140360
3250,2.961063e-04,2.058691
3300,2.957902e-04,2.135648
3350,2.954620e-04,2.159904
3400,2.951217e-04,2.138082
3450,2.947694e-04,2.106129
3500,2.944050e-04,2.130916
3550,2.940286e-04,2.081266
3600,2.936402e-04,2.190549
3650,2.932399e-04,2.138418
3700,2.928277e-04,2.115607
3750,2.924037e-04,2.041762
3800,2.919678e-04,2.105797
3850,2.915202e-04,2.066480
3900,2.910608e-04,1.999825
3950,2.905898e-04,2.076616
4000,2.901071e-04,2.018207
4050,2.896128e-04,2.050536
4100,2.891069e-04,2.021750
4150,2.885895e-04,1.939811
4200,2.880607e-04,2.098698
4250,2.875204e-04,2.009984
