step,lr,train_loss
0,1.500000e-07,8.464481
50,7.650000e-06,8.001111
100,1.515000e-05,7.105697
150,2.265000e-05,6.450797
200,3.015000e-05,5.846740
250,3.765000e-05,5.316380
300,4.515000e-05,4.993991
350,5.265000e-05,4.702188
400,6.015000e-05,4.484127
450,6.765000e-05,4.355511
500,7.515000e-05,4.199368
550,8.265000e-05,4.221554
600,9.015000e-05,4.140251
650,9.765000e-05,4.001692
700,1.051500e-04,3.983138
750,1.126500e-04,3.823867
800,1.201500e-04,3.770387
850,1.276500e-04,3.656131
900,1.351500e-04,3.675361
950,1.426500e-04,3.604331
1000,1.501500e-04,3.539954
1050,1.576500e-04,3.487371
1100,1.651500e-04,3.485629
1150,1.726500e-04,3.413270
1200,1.801500e-04,3.369757
1250,1.876500e-04,3.367564
1300,1.951500e-04,3.233741
1350,2.026500e-04,3.277806
1400,2.101500e-04,3.177249
1450,2.176500e-04,3.163964
1500,2.251500e-04,3.178754
1550,2.326500e-04,3.074130
1600,2.401500e-04,3.064142
1650,2.476500e-04,3.071299
1700,2.551500e-04,2.947168
1750,2.626500e-04,3.095755
1800,2.701500e-04,2.891847
1850,2.776500e-04,2.898089
1900,2.851500e-04,2.929378
1950,2.926500e-04,2.909676
2000,3.000000e-04,2.858357
2050,2.999937e-04,2.834132
2100,2.999750e-04,2.832944
2150,2.999437e-04,2.703083
2200,2.998999e-04,2.715038
2250,2.998435e-04,2.697722
2300,2.997747e-04,2.740179
2350,2.996934e-04,2.710454
2400,2.995996e-04,2.676269
2450,2.994932e-04,2.694672
2500,2.993745e-04,2.615606
2550,2.992432e-04,2.545635
2600,2.990995e-04,2.608229
2650,2.989434e-04,2.546462
2700,2.987749e-04,2.568424
2750,2.985939e-04,2.583774
2800,2.984006e-04,2.642911
2850,2.981949e-04,2.451364
2900,2.979768e-04,2.531550
2950,2.977464e-04,2.512455
3000,2.975037e-04,2.453961
3050,2.972487e-04,2.445499
3100,2.969814e-04,2.462941
3150,2.967019e-04,2.466424
3200,2.964102e-04,2.484356
3250,2.961063e-04,2.413291
3300,2.957902e-04,2.469464
3350,2.954620e-04,2.430405
3400,2.951217e-04,2.399219
3450,2.947694e-04,2.366754
3500,2.944050e-04,2.346445
3550,2.940286e-04,2.340368
3600,2.936402e-04,2.396904
3650,2.932399e-04,2.361352
3700,2.928277e-04,2.424756
3750,2.924037e-04,2.332172
3800,2.919678e-04,2.253381
3850,2.915202e-04,2.396796
3900,2.910608e-04,2.346821
3950,2.905898e-04,2.347438
4000,2.901071e-04,2.241286
4050,2.896128e-04,2.222368
4100,2.891069e-04,2.292966
4150,2.885895e-04,2.277324
4200,2.880607e-04,2.350078
4250,2.875204e-04,2.261017
4300,2.869688e-04,2.236423
4350,2.864059e-04,2.209943
4400,2.858317e-04,2.269081
4450,2.852463e-04,2.248239
4500,2.846498e-04,2.283807
4550,2.840421e-04,2.310550
4600,2.834235e-04,2.234961
4650,2.827938e-04,2.222507
4700,2.821532e-04,2.159177
4750,2.815018e-04,2.108799
4800,2.808395e-04,2.147142
4850,2.801665e-04,2.098335
4900,2.794828e-04,2.275075
4950,2.787885e-04,2.192342
5000,2.780837e-04,2.151012
5050,2.773683e-04,2.209844
5100,2.766426e-04,2.150667
5150,2.759065e-04,2.170953
5200,2.751601e-04,2.098162
5250,2.744035e-04,2.121257
5300,2.736367e-04,2.126305
5350,2.728599e-04,2.179796
5400,2.720730e-04,2.222241
5450,2.712762e-04,2.038865
5500,2.704696e-04,2.034298
5550,2.696532e-04,2.176323
5600,2.688271e-04,2.128227
5650,2.679914e-04,2.080592
5700,2.671461e-04,2.164636
5750,2.662913e-04,2.121526
5800,2.654271e-04,2.083367
5850,2.645537e-04,2.137571
5900,2.636710e-04,2.138459
5950,2.627791e-04,2.189365
6000,2.618782e-04,2.037420
6050,2.609683e-04,2.137508
6100,2.600495e-04,2.074603
6150,2.591218e-04,2.080268
6200,2.581855e-04,2.084592
6250,2.572405e-04,2.109876
6300,2.562869e-04,2.005604
