step,lr,train_loss
0,1.500000e-07,8.479319
50,7.650000e-06,7.965072
100,1.515000e-05,7.024050
150,2.265000e-05,6.358593
200,3.015000e-05,5.786205
250,3.765000e-05,5.262079
300,4.515000e-05,4.933888
350,5.265000e-05,4.632533
400,6.015000e-05,4.455230
450,6.765000e-05,4.394974
500,7.515000e-05,4.087283
550,8.265000e-05,3.942684
600,9.015000e-05,3.914650
650,9.765000e-05,3.799541
700,1.051500e-04,3.776015
750,1.126500e-04,3.628513
800,1.201500e-04,3.561058
850,1.276500e-04,3.594107
900,1.351500e-04,3.494398
950,1.426500e-04,3.343569
1000,1.501500e-04,3.267794
1050,1.576500e-04,3.194715
1100,1.651500e-04,3.187845
1150,1.726500e-04,3.124324
1200,1.801500e-04,3.032686
1250,1.876500e-04,3.037843
1300,1.951500e-04,3.018348
1350,2.026500e-04,2.933973
1400,2.101500e-04,2.921836
1450,2.176500e-04,2.960739
1500,2.251500e-04,2.829608
1550,2.326500e-04,2.839241
1600,2.401500e-04,2.770604
1650,2.476500e-04,2.734726
1700,2.551500e-04,2.690217
1750,2.626500e-04,2.785260
1800,2.701500e-04,2.704751
1850,2.776500e-04,2.634843
1900,2.851500e-04,2.603077
1950,2.926500e-04,2.595344
2000,3.000000e-04,2.673510
2050,2.999937e-04,2.561805
2100,2.999750e-04,2.513381
2150,2.999437e-04,2.539280
2200,2.998999e-04,2.515004
2250,2.998435e-04,2.440925
2300,2.997747e-04,2.447191
2350,2.996934e-04,2.398761
2400,2.995996e-04,2.423630
2450,2.994932e-04,2.324978
2500,2.993745e-04,2.385056
2550,2.992432e-04,2.380056
2600,2.990995e-04,2.331639
2650,2.989434e-04,2.328669
2700,2.987749e-04,2.306150
2750,2.985939e-04,2.300598
2800,2.984006e-04,2.285360
2850,2.981949e-04,2.203005
2900,2.979768e-04,2.211072
2950,2.977464e-04,2.283779
3000,2.975037e-04,2.257792
3050,2.972487e-04,2.261834
3100,2.969814e-04,2.245945
3150,2.967019e-04,2.106033
3200,2.964102e-04,2.153299
3250,2.961063e-04,2.089883
3300,2.957902e-04,2.144449
3350,2.954620e-04,2.105367
3400,2.951217e-04,2.104657
3450,2.947694e-04,2.119641
3500,2.944050e-04,2.148022
3550,2.940286e-04,2.129146
3600,2.936402e-04,2.051624
3650,2.932399e-04,2.034975
3700,2.928277e-04,2.019092
3750,2.924037e-04,2.011862
3800,2.919678e-04,2.087933
3850,2.915202e-04,2.033534
3900,2.910608e-04,2.047450
3950,2.905898e-04,2.009180
4000,2.901071e-04,2.079370
4050,2.896128e-04,2.000145
