step,lr,train_loss
0,1.500000e-07,8.458776
50,7.650000e-06,8.008045
100,1.515000e-05,7.083820
150,2.265000e-05,6.432698
200,3.015000e-05,5.849083
250,3.765000e-05,5.317066
300,4.515000e-05,4.990284
350,5.265000e-05,4.701738
400,6.015000e-05,4.529384
450,6.765000e-05,4.485788
500,7.515000e-05,4.206450
550,8.265000e-05,4.086949
600,9.015000e-05,4.062251
650,9.765000e-05,3.960950
700,1.051500e-04,3.947994
750,1.126500e-04,3.814929
800,1.201500e-04,3.744707
850,1.276500e-04,3.786853
900,1.351500e-04,3.706310
950,1.426500e-04,3.559320
1000,1.501500e-04,3.506715
1050,1.576500e-04,3.431697
1100,1.651500e-04,3.444099
1150,1.726500e-04,3.385081
1200,1.801500e-04,3.322074
1250,1.876500e-04,3.312181
1300,1.951500e-04,3.320489
1350,2.026500e-04,3.203239
1400,2.101500e-04,3.213183
1450,2.176500e-04,3.240713
1500,2.251500e-04,3.112944
1550,2.326500e-04,3.118384
1600,2.401500e-04,3.059402
1650,2.476500e-04,3.008283
1700,2.551500e-04,2.965840
1750,2.626500e-04,3.056089
1800,2.701500e-04,2.969726
1850,2.776500e-04,2.887090
1900,2.851500e-04,2.850601
1950,2.926500e-04,2.855437
2000,3.000000e-04,2.927016
2050,2.999937e-04,2.822878
2100,2.999750e-04,2.774125
2150,2.999437e-04,2.794121
2200,2.998999e-04,2.768552
2250,2.998435e-04,2.696984
2300,2.997747e-04,2.714845
2350,2.996934e-04,2.658046
2400,2.995996e-04,2.674012
2450,2.994932e-04,2.580467
2500,2.993745e-04,2.650336
2550,2.992432e-04,2.658095
2600,2.990995e-04,2.589347
2650,2.989434e-04,2.594248
2700,2.987749e-04,2.568550
2750,2.985939e-04,2.562872
2800,2.984006e-04,2.563379
2850,2.981949e-04,2.465919
2900,2.979768e-04,2.487002
2950,2.977464e-04,2.561026
3000,2.975037e-04,2.552024
3050,2.972487e-04,2.539412
3100,2.969814e-04,2.534373
3150,2.967019e-04,2.361134
3200,2.964102e-04,2.416466
3250,2.961063e-04,2.343436
3300,2.957902e-04,2.395765
3350,2.954620e-04,2.384844
3400,2.951217e-04,2.377896
3450,2.947694e-04,2.372894
3500,2.944050e-04,2.404572
3550,2.940286e-04,2.376660
3600,2.936402e-04,2.312492
3650,2.932399e-04,2.301134
3700,2.928277e-04,2.282014
3750,2.924037e-04,2.266083
3800,2.919678e-04,2.339282
3850,2.915202e-04,2.281168
3900,2.910608e-04,2.298251
3950,2.905898e-04,2.284570
4000,2.901071e-04,2.350972
4050,2.896128e-04,2.248924
4100,2.891069e-04,2.271277
4150,2.885895e-04,2.375766
4200,2.880607e-04,2.287241
4250,2.875204e-04,2.341871
4300,2.869688e-04,2.212985
4350,2.864059e-04,2.266481
