step,lr,train_loss
0,1.500000e-07,8.479780
50,7.650000e-06,7.996414
100,1.515000e-05,7.057634
150,2.265000e-05,6.406924
200,3.015000e-05,5.797603
250,3.765000e-05,5.293002
300,4.515000e-05,4.973858
350,5.265000e-05,4.686180
400,6.015000e-05,4.468524
450,6.765000e-05,4.337955
500,7.515000e-05,4.182356
550,8.265000e-05,4.199369
600,9.015000e-05,4.121554
650,9.765000e-05,3.992325
700,1.051500e-04,3.979606
750,1.126500e-04,3.841810
800,1.201500e-04,3.789502
850,1.276500e-04,3.697562
900,1.351500e-04,3.731145
950,1.426500e-04,3.672830
1000,1.501500e-04,3.606528
1050,1.576500e-04,3.564861
1100,1.651500e-04,3.573930
1150,1.726500e-04,3.496861
1200,1.801500e-04,3.447433
1250,1.876500e-04,3.463285
1300,1.951500e-04,3.320077
1350,2.026500e-04,3.386516
1400,2.101500e-04,3.291593
1450,2.176500e-04,3.278323
1500,2.251500e-04,3.296113
1550,2.326500e-04,3.206079
1600,2.401500e-04,3.202734
1650,2.476500e-04,3.201849
1700,2.551500e-04,3.078286
1750,2.626500e-04,3.226098
1800,2.701500e-04,3.037310
1850,2.776500e-04,3.031593
1900,2.851500e-04,3.072458
1950,2.926500e-04,3.041870
2000,3.000000e-04,2.994392
2050,2.999937e-04,2.983172
2100,2.999750e-04,2.992064
2150,2.999437e-04,2.841672
2200,2.998999e-04,2.849302
2250,2.998435e-04,2.819935
2300,2.997747e-04,2.878230
2350,2.996934e-04,2.839995
2400,2.995996e-04,2.812901
2450,2.994932e-04,2.829201
2500,2.993745e-04,2.741483
2550,2.992432e-04,2.657807
2600,2.990995e-04,2.730947
2650,2.989434e-04,2.663846
2700,2.987749e-04,2.663344
2750,2.985939e-04,2.693528
2800,2.984006e-04,2.750471
2850,2.981949e-04,2.556898
2900,2.979768e-04,2.624906
2950,2.977464e-04,2.600520
3000,2.975037e-04,2.550448
3050,2.972487e-04,2.526320
3100,2.969814e-04,2.546504
3150,2.967019e-04,2.547928
3200,2.964102e-04,2.552272
3250,2.961063e-04,2.496790
3300,2.957902e-04,2.535995
3350,2.954620e-04,2.509956
3400,2.951217e-04,2.464133
3450,2.947694e-04,2.437384
3500,2.944050e-04,2.417749
3550,2.940286e-04,2.404937
3600,2.936402e-04,2.452368
3650,2.932399e-04,2.412774
3700,2.928277e-04,2.479669
3750,2.924037e-04,2.378251
3800,2.919678e-04,2.299322
3850,2.915202e-04,2.433456
3900,2.910608e-04,2.400425
3950,2.905898e-04,2.389626
4000,2.901071e-04,2.278500
4050,2.896128e-04,2.266364
4100,2.891069e-04,2.329176
4150,2.885895e-04,2.299181
4200,2.880607e-04,2.374852
4250,2.875204e-04,2.305785
4300,2.869688e-04,2.261370
4350,2.864059e-04,2.252210
4400,2.858317e-04,2.298725
4450,2.852463e-04,2.286989
4500,2.846498e-04,2.312862
4550,2.840421e-04,2.339189
4600,2.834235e-04,2.242892
4650,2.827938e-04,2.241478
4700,2.821532e-04,2.184843
4750,2.815018e-04,2.125338
4800,2.808395e-04,2.163245
4850,2.801665e-04,2.121552
4900,2.794828e-04,2.286404
4950,2.787885e-04,2.200800
5000,2.780837e-04,2.155742
5050,2.773683e-04,2.219034
5100,2.766426e-04,2.155132
5150,2.759065e-04,2.169075
5200,2.751601e-04,2.103131
5250,2.744035e-04,2.124018
5300,2.736367e-04,2.136458
5350,2.728599e-04,2.185182
5400,2.720730e-04,2.220011
5450,2.712762e-04,2.049140
5500,2.704696e-04,2.033638
5550,2.696532e-04,2.173374
5600,2.688271e-04,2.123182
5650,2.679914e-04,2.081223
5700,2.671461e-04,2.155630
5750,2.662913e-04,2.120800
5800,2.654271e-04,2.090548
5850,2.645537e-04,2.131817
5900,2.636710e-04,2.127748
5950,2.627791e-04,2.188109
6000,2.618782e-04,2.026986
6050,2.609683e-04,2.141996
6100,2.600495e-04,2.061563
6150,2.591218e-04,2.068398
6200,2.581855e-04,2.074434
6250,2.572405e-04,2.097090
6300,2.562869e-04,1.998590
6350,2.553249e-04,2.041337
6400,2.543545e-04,2.013062
6450,2.533758e-04,2.072760
6500,2.523889e-04,2.054260
6550,2.513940e-04,2.113788
6600,2.503910e-04,2.044640
6650,2.493801e-04,2.100970
6700,2.483613e-04,2.084591
6750,2.473348e-04,2.036858
6800,2.463007e-04,2.027091
6850,2.452591e-04,2.017804
6900,2.442100e-04,2.097741
6950,2.431536e-04,2.072701
7000,2.420899e-04,1.981121
7050,2.410190e-04,1.967954
7100,2.399412e-04,2.030979
7150,2.388563e-04,1.988411
7200,2.377646e-04,1.947115
7250,2.366662e-04,2.040912
7300,2.355611e-04,1.942545
7350,2.344495e-04,2.012055
7400,2.333315e-04,2.010778
7450,2.322071e-04,1.984135
7500,2.310764e-04,1.981912
7550,2.299397e-04,1.987582
7600,2.287969e-04,1.998110
7650,2.276482e-04,2.033861
7700,2.264937e-04,2.000891
7750,2.253334e-04,1.992792
7800,2.241676e-04,1.967631
7850,2.229963e-04,1.972560
7900,2.218197e-04,1.861273
7950,2.206377e-04,1.961185
8000,2.194506e-04,2.017432
8050,2.182585e-04,1.952556
8100,2.170614e-04,2.006198
8150,2.158595e-04,2.019563
8200,2.146528e-04,2.014183
8250,2.134416e-04,2.017044
8300,2.122258e-04,1.918252
8350,2.110057e-04,1.978758
8400,2.097813e-04,1.939537
8450,2.085528e-04,2.020215
8500,2.073202e-04,2.059207
8550,2.060837e-04,1.984861
8600,2.048434e-04,1.922366
8650,2.035994e-04,1.886780
8700,2.023518e-04,2.010803
8750,2.011008e-04,1.915249
8800,1.998464e-04,1.951329
8850,1.985887e-04,1.945336
8900,1.973280e-04,1.949892
8950,1.960643e-04,1.915051
9000,1.947976e-04,1.892873
9050,1.935283e-04,1.878870
9100,1.922562e-04,1.944156
9150,1.909817e-04,1.933291
9200,1.897047e-04,1.898897
9250,1.884254e-04,1.948974
9300,1.871440e-04,1.923466
9350,1.858605e-04,1.951137
9400,1.845751e-04,1.921338
9450,1.832879e-04,1.915641
9500,1.819989e-04,2.008623
9550,1.807084e-04,1.871614
9600,1.794164e-04,1.898461
9650,1.781231e-04,1.987979
9700,1.768286e-04,1.889900
9750,1.755330e-04,1.940007
9800,1.742364e-04,1.905973
9850,1.729390e-04,1.892954
9900,1.716408e-04,1.889423
9950,1.703420e-04,1.842234
10000,1.690427e-04,1.856450
10050,1.677430e-04,1.909334
10100,1.664431e-04,1.952394
10150,1.651430e-04,1.883563
10200,1.638429e-04,1.913935
10250,1.625430e-04,1.892152
10300,1.612432e-04,1.896955
10350,1.599438e-04,1.840304
10400,1.586449e-04,1.871380
10450,1.573466e-04,1.864405
10500,1.560490e-04,1.916590
10550,1.547522e-04,1.912035
10600,1.534563e-04,1.812021
10650,1.521616e-04,1.854085
10700,1.508680e-04,1.788697
10750,1.495757e-04,1.896732
10800,1.482849e-04,1.934508
10850,1.469956e-04,1.828454
10900,1.457079e-04,1.890195
10950,1.444221e-04,1.816933
11000,1.431382e-04,1.949304
11050,1.418563e-04,1.814959
11100,1.405766e-04,1.768538
11150,1.392991e-04,1.861773
11200,1.380240e-04,1.869648
11250,1.367514e-04,1.912659
11300,1.354814e-04,1.796779
11350,1.342142e-04,1.937488
11400,1.329498e-04,1.868106
11450,1.316884e-04,1.863798
11500,1.304300e-04,1.855984
11550,1.291749e-04,1.879259
11600,1.279231e-04,1.911909
11650,1.266748e-04,1.832095
11700,1.254300e-04,1.834774
11750,1.241888e-04,1.734887
11800,1.229515e-04,1.765283
